epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,1051.39,1.90384,0.93529,0.96074,0.8352,0.89177,0.87349,0.45592,1.68922,0.83886,0.95853,0.0011156,0.0011156,0.0011156
136,1059.22,1.88,0.92234,0.94354,0.83189,0.88412,0.87843,0.43259,1.60538,0.8509,0.94937,0.001109,0.001109,0.001109
137,1067.66,1.6957,0.93732,0.91083,0.83189,0.88412,0.87843,0.43259,1.60538,0.8509,0.94937,0.0011024,0.0011024,0.0011024
138,1075.51,1.6488,0.93669,0.93504,0.81705,0.86251,0.84032,0.33805,1.70123,0.93889,0.95809,0.0010958,0.0010958,0.0010958
139,1084.42,1.52334,0.98201,0.94062,0.81705,0.86251,0.84032,0.33805,1.70123,0.93889,0.95809,0.0010892,0.0010892,0.0010892
140,1091.87,1.48623,0.97575,0.91788,0.77665,0.82084,0.78633,0.28747,1.83194,0.98006,0.97284,0.0010826,0.0010826,0.0010826
141,1099.77,1.60133,0.95827,0.95658,0.77665,0.82084,0.78633,0.28747,1.83194,0.98006,0.97284,0.001076,0.001076,0.001076
142,1107.63,1.73767,1.01109,0.94328,0.78192,0.80687,0.79621,0.2942,1.80606,0.97258,0.96977,0.0010694,0.0010694,0.0010694
143,1115.46,1.69373,1.00449,0.98012,0.78192,0.80687,0.79621,0.2942,1.80606,0.97258,0.96977,0.0010628,0.0010628,0.0010628
144,1122.77,1.53371,0.96666,0.98066,0.83844,0.81974,0.84662,0.3473,1.6414,0.92673,0.9492,0.0010562,0.0010562,0.0010562
145,1130.15,1.37289,0.92101,0.92272,0.83844,0.81974,0.84662,0.3473,1.6414,0.92673,0.9492,0.0010496,0.0010496,0.0010496
146,1138.14,1.43394,0.93575,0.92045,0.83897,0.87209,0.86428,0.42355,1.5674,0.87829,0.94089,0.001043,0.001043,0.001043
147,1145.8,1.4866,0.93612,0.9451,0.83897,0.87209,0.86428,0.42355,1.5674,0.87829,0.94089,0.0010364,0.0010364,0.0010364
148,1153.56,1.41066,0.90354,0.92329,0.81492,0.87983,0.87405,0.45142,1.52916,0.86596,0.93526,0.0010298,0.0010298,0.0010298
149,1160.89,1.49282,0.90912,0.92548,0.81492,0.87983,0.87405,0.45142,1.52916,0.86596,0.93526,0.0010232,0.0010232,0.0010232
150,1169.69,1.62523,0.98187,0.9284,0.80238,0.8927,0.86942,0.44008,1.4528,0.86585,0.92871,0.0010166,0.0010166,0.0010166
151,1178.07,1.51993,0.94108,0.89175,0.80238,0.8927,0.86942,0.44008,1.4528,0.86585,0.92871,0.00101,0.00101,0.00101
152,1186.43,1.5824,0.95597,0.93729,0.82187,0.87131,0.86157,0.39345,1.53028,0.89132,0.93711,0.0010034,0.0010034,0.0010034
153,1194.96,1.60774,0.97763,0.92111,0.82187,0.87131,0.86157,0.39345,1.53028,0.89132,0.93711,0.0009968,0.0009968,0.0009968
154,1202.71,1.3944,0.88966,0.92645,0.80195,0.86896,0.85256,0.3552,1.70508,0.92145,0.95739,0.0009902,0.0009902,0.0009902
155,1210.21,1.45518,0.93904,0.89822,0.80195,0.86896,0.85256,0.3552,1.70508,0.92145,0.95739,0.0009836,0.0009836,0.0009836
156,1217.22,1.34665,0.91148,0.89449,0.78156,0.89067,0.84227,0.34967,1.74418,0.92545,0.96268,0.000977,0.000977,0.000977
157,1224.75,1.56694,0.96611,0.91026,0.78156,0.89067,0.84227,0.34967,1.74418,0.92545,0.96268,0.0009704,0.0009704,0.0009704
158,1232.29,1.46692,0.96227,0.90903,0.82962,0.88412,0.86408,0.39728,1.31415,0.89208,0.91496,0.0009638,0.0009638,0.0009638
159,1239.44,1.3468,0.9016,0.91381,0.82962,0.88412,0.86408,0.39728,1.31415,0.89208,0.91496,0.0009572,0.0009572,0.0009572
160,1253.66,1.47281,0.96191,0.92536,0.84015,0.90227,0.89061,0.44926,1.3057,0.84894,0.91054,0.0009506,0.0009506,0.0009506
161,1261.73,1.32506,0.87392,0.9014,0.84015,0.90227,0.89061,0.44926,1.3057,0.84894,0.91054,0.000944,0.000944,0.000944
162,1270.15,1.38509,0.8988,0.91087,0.85053,0.897,0.8918,0.45629,1.35866,0.83272,0.91374,0.0009374,0.0009374,0.0009374
163,1278.01,1.3728,0.87422,0.92843,0.85053,0.897,0.8918,0.45629,1.35866,0.83272,0.91374,0.0009308,0.0009308,0.0009308
164,1285.66,1.43161,0.8806,0.8989,0.85821,0.88412,0.8859,0.44148,1.34871,0.82482,0.91258,0.0009242,0.0009242,0.0009242
165,1293.4,1.41734,0.88634,0.89033,0.85821,0.88412,0.8859,0.44148,1.34871,0.82482,0.91258,0.0009176,0.0009176,0.0009176
166,1301.41,1.43529,0.90949,0.92945,0.84056,0.88841,0.88275,0.4222,1.31548,0.83281,0.90848,0.000911,0.000911,0.000911
167,1310.27,1.34425,0.88393,0.93351,0.84056,0.88841,0.88275,0.4222,1.31548,0.83281,0.90848,0.0009044,0.0009044,0.0009044
168,1319.72,1.48126,0.92559,0.91429,0.82293,0.8927,0.8795,0.41779,1.31219,0.83525,0.9073,0.0008978,0.0008978,0.0008978
169,1327.27,1.52618,0.9301,0.89297,0.82293,0.8927,0.8795,0.41779,1.31219,0.83525,0.9073,0.0008912,0.0008912,0.0008912
170,1335.71,1.43656,0.87862,0.93203,0.82375,0.88841,0.88587,0.44764,1.28044,0.81594,0.90584,0.0008846,0.0008846,0.0008846
171,1343.18,1.37285,0.89662,0.93556,0.82375,0.88841,0.88587,0.44764,1.28044,0.81594,0.90584,0.000878,0.000878,0.000878
172,1351.62,1.3683,0.86072,0.93257,0.84615,0.90558,0.90805,0.479,1.2752,0.79401,0.90443,0.0008714,0.0008714,0.0008714
173,1359.31,1.41732,0.88757,0.92252,0.84615,0.90558,0.90805,0.479,1.2752,0.79401,0.90443,0.0008648,0.0008648,0.0008648
174,1367.17,1.31681,0.85021,0.93389,0.87428,0.88412,0.90971,0.50535,1.26565,0.77279,0.90616,0.0008582,0.0008582,0.0008582
175,1374.75,1.35689,0.87579,0.90469,0.87428,0.88412,0.90971,0.50535,1.26565,0.77279,0.90616,0.0008516,0.0008516,0.0008516
176,1383.1,1.33861,0.84888,0.91857,0.87339,0.88412,0.90984,0.49571,1.28428,0.77523,0.9098,0.000845,0.000845,0.000845
177,1390.44,1.40705,0.87158,0.91104,0.87339,0.88412,0.90984,0.49571,1.28428,0.77523,0.9098,0.0008384,0.0008384,0.0008384
178,1397.15,1.44372,0.86424,0.90185,0.8489,0.90558,0.9019,0.4783,1.2947,0.79171,0.90969,0.0008318,0.0008318,0.0008318
179,1404.83,1.47349,0.87956,0.91306,0.8489,0.90558,0.9019,0.4783,1.2947,0.79171,0.90969,0.0008252,0.0008252,0.0008252
